
[AE] epoch: 120/150(80.00%), time: 0:03:16, loss: 0.052826116482416786, best epoch: 120, best loss: 0.052826116482416786
[AE] epoch: 121/150(80.67%), time: 0:03:18, loss: 0.05278585915764173, best epoch: 121, best loss: 0.05278585915764173
[AE] epoch: 122/150(81.33%), time: 0:03:19, loss: 0.05269241258502007, best epoch: 122, best loss: 0.05269241258502007
[AE] epoch: 123/150(82.00%), time: 0:03:21, loss: 0.052695235759019854, best epoch: 122, best loss: 0.05269241258502007
[AE] epoch: 124/150(82.67%), time: 0:03:22, loss: 0.0526143729686737, best epoch: 124, best loss: 0.0526143729686737
[AE] epoch: 125/150(83.33%), time: 0:03:23, loss: 0.05248290558656057, best epoch: 125, best loss: 0.05248290558656057
[AE] epoch: 126/150(84.00%), time: 0:03:25, loss: 0.052379214068253833, best epoch: 126, best loss: 0.052379214068253833
[AE] epoch: 127/150(84.67%), time: 0:03:26, loss: 0.05237863227725029, best epoch: 127, best loss: 0.05237863227725029
[AE] epoch: 128/150(85.33%), time: 0:03:28, loss: 0.05220770557721456, best epoch: 128, best loss: 0.05220770557721456
[AE] epoch: 129/150(86.00%), time: 0:03:29, loss: 0.05210341344277064, best epoch: 129, best loss: 0.05210341344277064
[AE] epoch: 130/150(86.67%), time: 0:03:30, loss: 0.05206514358520508, best epoch: 130, best loss: 0.05206514358520508
[AE] epoch: 131/150(87.33%), time: 0:03:32, loss: 0.05192826082309087, best epoch: 131, best loss: 0.05192826082309087
[AE] epoch: 132/150(88.00%), time: 0:03:33, loss: 0.05191611876090368, best epoch: 132, best loss: 0.05191611876090368
[AE] epoch: 133/150(88.67%), time: 0:03:35, loss: 0.051786635915438334, best epoch: 133, best loss: 0.051786635915438334
[AE] epoch: 134/150(89.33%), time: 0:03:36, loss: 0.051628714501857756, best epoch: 134, best loss: 0.051628714501857756
[AE] epoch: 135/150(90.00%), time: 0:03:38, loss: 0.05152492567896843, best epoch: 135, best loss: 0.05152492567896843
[AE] epoch: 136/150(90.67%), time: 0:03:39, loss: 0.051349859535694126, best epoch: 136, best loss: 0.051349859535694126
[AE] epoch: 137/150(91.33%), time: 0:03:40, loss: 0.051319334755341214, best epoch: 137, best loss: 0.051319334755341214
[AE] epoch: 138/150(92.00%), time: 0:03:42, loss: 0.051205669889847434, best epoch: 138, best loss: 0.051205669889847434
[AE] epoch: 139/150(92.67%), time: 0:03:43, loss: 0.05112569918235143, best epoch: 139, best loss: 0.05112569918235143
[AE] epoch: 140/150(93.33%), time: 0:03:45, loss: 0.05092934131622315, best epoch: 140, best loss: 0.05092934131622315
[AE] epoch: 141/150(94.00%), time: 0:03:46, loss: 0.05097802018125852, best epoch: 140, best loss: 0.05092934131622315
[AE] epoch: 142/150(94.67%), time: 0:03:47, loss: 0.050778401692708336, best epoch: 142, best loss: 0.050778401692708336
[AE] epoch: 143/150(95.33%), time: 0:03:49, loss: 0.050731553186972936, best epoch: 143, best loss: 0.050731553186972936
[AE] epoch: 144/150(96.00%), time: 0:03:50, loss: 0.05063151101271311, best epoch: 144, best loss: 0.05063151101271311
[AE] epoch: 145/150(96.67%), time: 0:03:52, loss: 0.05057581037282944, best epoch: 145, best loss: 0.05057581037282944
[AE] epoch: 146/150(97.33%), time: 0:03:53, loss: 0.050543064326047896, best epoch: 146, best loss: 0.050543064326047896
[AE] epoch: 147/150(98.00%), time: 0:03:54, loss: 0.050488661229610446, best epoch: 147, best loss: 0.050488661229610446
[AE] epoch: 148/150(98.67%), time: 0:03:56, loss: 0.05034323910872141, best epoch: 148, best loss: 0.05034323910872141
[AE] epoch: 149/150(99.33%), time: 0:03:57, loss: 0.0503183276951313, best epoch: 149, best loss: 0.0503183276951313
[AE] epoch: 150/150(100.00%), time: 0:03:58, loss: 0.05020950401822726, best epoch: 150, best loss: 0.05020950401822726
[AE] best epoch: 150, loss: 0.05020950401822726
Saving the ae weights.
Stacking BAGAN AE features
Finish stacking BAGAN AE features
Using cache found in /home/dblab/.cache/torch/hub/pytorch_vision_v0.10.0
<All keys matched successfully>
_IncompatibleKeys(missing_keys=['module.adv.1.weight', 'module.adv.1.bias'], unexpected_keys=['module.linear.1.weight', 'module.linear.1.bias'])
[GAN] step: 2000/100000(2.00%), time: 1:02:25, loss D: 2.373417377471924, loss G: 2.9412896633148193, FID: 348.93670562042155, INS: 1.6397536993026733, best step: 2000, best FID: 348.93670562042155, best INS: 1.6397536993026733
[GAN] step: 4000/100000(4.00%), time: 2:15:33, loss D: 2.2211642265319824, loss G: 2.813223123550415, FID: 336.8094067132001, INS: 1.38869047164917, best step: 4000, best FID: 336.8094067132001, best INS: 1.38869047164917
[GAN] step: 6000/100000(6.00%), time: 3:30:13, loss D: 1.459130048751831, loss G: 2.9734156131744385, FID: 339.36256527748594, INS: 1.3005809783935547, best step: 4000, best FID: 336.8094067132001, best INS: 1.38869047164917
[GAN] step: 8000/100000(8.00%), time: 4:45:20, loss D: 1.7976146936416626, loss G: 4.1462178230285645, FID: 253.9546258143805, INS: 1.5076284408569336, best step: 8000, best FID: 253.9546258143805, best INS: 1.5076284408569336
[GAN] step: 10000/100000(10.00%), time: 5:59:31, loss D: 1.0578395128250122, loss G: 5.052037715911865, FID: 233.87220236746333, INS: 1.609516978263855, best step: 10000, best FID: 233.87220236746333, best INS: 1.609516978263855
[GAN] step: 12000/100000(12.00%), time: 7:14:17, loss D: 1.2012522220611572, loss G: 4.04069709777832, FID: 232.0262602640761, INS: 1.5062916278839111, best step: 12000, best FID: 232.0262602640761, best INS: 1.5062916278839111
[GAN] step: 14000/100000(14.00%), time: 8:28:07, loss D: 1.195425033569336, loss G: 3.943760871887207, FID: 196.70718652059975, INS: 1.4969373941421509, best step: 14000, best FID: 196.70718652059975, best INS: 1.4969373941421509
[GAN] step: 16000/100000(16.00%), time: 9:41:22, loss D: 0.814457893371582, loss G: 3.906463623046875, FID: 222.44651700481674, INS: 1.625353217124939, best step: 14000, best FID: 196.70718652059975, best INS: 1.4969373941421509
[GAN] step: 18000/100000(18.00%), time: 10:54:30, loss D: 0.6339132785797119, loss G: 4.803095817565918, FID: 203.50849939930382, INS: 1.8770097494125366, best step: 14000, best FID: 196.70718652059975, best INS: 1.4969373941421509
[GAN] step: 20000/100000(20.00%), time: 12:07:11, loss D: 0.4046628177165985, loss G: 5.088115215301514, FID: 194.76435973015992, INS: 1.7991431951522827, best step: 20000, best FID: 194.76435973015992, best INS: 1.7991431951522827
[GAN] step: 22000/100000(22.00%), time: 13:20:49, loss D: 0.5738920569419861, loss G: 6.730866432189941, FID: 204.37918572896626, INS: 1.7046555280685425, best step: 20000, best FID: 194.76435973015992, best INS: 1.7991431951522827
[GAN] step: 24000/100000(24.00%), time: 14:34:13, loss D: 0.35790419578552246, loss G: 6.448851585388184, FID: 199.37406677587092, INS: 1.9109516143798828, best step: 20000, best FID: 194.76435973015992, best INS: 1.7991431951522827
[GAN] step: 26000/100000(26.00%), time: 15:47:23, loss D: 0.12910813093185425, loss G: 4.661321640014648, FID: 181.55318286494884, INS: 1.8499468564987183, best step: 26000, best FID: 181.55318286494884, best INS: 1.8499468564987183
[GAN] step: 28000/100000(28.00%), time: 17:01:10, loss D: 0.6144670248031616, loss G: 6.631294250488281, FID: 192.98384493862517, INS: 1.934701919555664, best step: 26000, best FID: 181.55318286494884, best INS: 1.8499468564987183
[GAN] step: 30000/100000(30.00%), time: 18:15:44, loss D: 0.178777277469635, loss G: 5.716455459594727, FID: 184.81895604859835, INS: 1.7635666131973267, best step: 26000, best FID: 181.55318286494884, best INS: 1.8499468564987183
[GAN] step: 32000/100000(32.00%), time: 19:31:39, loss D: 0.3318976163864136, loss G: 6.566593647003174, FID: 170.8030465204624, INS: 1.8834694623947144, best step: 32000, best FID: 170.8030465204624, best INS: 1.8834694623947144
[GAN] step: 34000/100000(34.00%), time: 20:51:56, loss D: 0.17756810784339905, loss G: 6.172149658203125, FID: 165.19667218766676, INS: 1.9541975259780884, best step: 34000, best FID: 165.19667218766676, best INS: 1.9541975259780884
